ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000860,5,37,3,10000,,20
000861,5,37,3,,,7
000862,5,37,3,,,6
000863,5,37,3,,,3
000864,1,1,1,76000,,22
000865,1,1,1,0,,23
000866,1,1,1,,2,2
000867,1,1,1,,,1
000868,1,1,1,0,,21
000869,1,1,1,0,,21
000870,1,1,1,35400,16,21
000871,1,1,1,5200,,20
000872,1,1,1,0,,18
000873,1,1,1,0,,21
000874,1,1,1,8500,,22
000875,1,1,1,0,,18
000876,1,1,1,100000,,18
000877,1,1,1,20000,,21
000878,8,67,15,6680,15,19
000879,1,1,1,165000,,21
000880,1,1,1,72000,,22
000881,1,1,1,0,13,13
000882,1,1,1,,11,11
000883,1,1,1,,9,9
000884,1,1,1,70000,,21
000885,1,1,1,65000,,22
000886,1,1,1,0,14,14
000887,1,1,1,,1,1
000888,1,1,1,34100,15,20
000889,1,1,1,43000,,20
000890,1,1,1,18000,,16
000891,1,1,1,,11,11
000892,1,1,1,50000,,19
000893,1,1,1,10000,,19
000894,1,1,1,0,14,14
000895,1,1,1,0,13,13
000896,1,1,1,55000,,21
000897,1,1,1,50000,,19
000898,1,1,1,0,,19
000899,1,1,1,15000,,21
000900,1,1,1,30000,,22
000901,1,1,1,,8,8
000902,1,1,1,,6,6
000903,1,1,1,0,,16
000904,9,68,17,0,,16
000905,1,1,1,0,,16
000906,1,1,1,0,,19
000907,1,1,1,62000,,18
000908,1,1,1,0,,12
000909,1,1,1,17000,,19
000910,1,1,1,,8,8
000911,1,1,1,3200,15,16
000912,1,1,1,0,,16
000913,1,1,1,35000,,11
000914,1,1,1,160000,,21
000915,1,1,1,140000,,19
000916,1,1,1,54000,,19
000917,1,1,1,51000,,17
000918,1,1,1,,10,10
000919,2,2,2,16000,,7
000920,1,1,1,0,,19
000921,1,1,1,36000,,18
000922,1,1,1,,,1
000923,1,1,1,,,
000924,1,1,1,60000,,22
000925,1,1,1,50000,,19
000926,1,1,1,4000,14,14
000927,1,1,1,25000,,19
000928,1,1,1,25000,15,19
000929,1,1,1,29000,,10
000930,1,1,1,0,14,14
000931,1,1,1,,11,11
000932,1,1,1,,4,4
000933,1,1,1,104000,,21
000934,1,1,1,0,,16
000935,1,1,1,0,,11
000936,1,1,1,0,,19
000937,1,1,1,0,,18
000938,1,1,1,85000,,24
000939,1,1,1,15000,,21
000940,1,1,1,13000,,22
000941,1,1,1,37500,,23
000942,1,1,1,0,,16
000943,1,1,1,0,15,20
000944,1,1,1,30600,,22
000945,1,1,1,0,,20
000946,9,68,17,52000,,20
000947,3,21,3,0,,14
